artist,song
The Weeknd,Save Your Tears
Mark Ronson,Uptown Funk
CROWN,Evil Ways
Lewis Capaldi,Someone You Loved
Benson Boone,Beautiful Things
Rowan Drake,i was cruel
Ed Sheeran,Shape of You
Coldplay,Clocks
Adele,Rolling in the Deep
Katy Perry,Dark Horse
Dizzy Fae,I Cant Lend You My Heart
Coldplay,The Scientist
Ariana Grande,we cant be friends
Coldplay,Viva La Vida
Ed Sheeran,Perfect
Flow $tro,Seasons
Maroon 5,Sugar
Sia,Unstoppable
Miley Cyrus,Flowers
Bruno Mars,The Lazy Song
Gz,Money & Fame
The Kid LAROI,STAY
Maroon 5,Girls Like You
Jason Mraz,Im Yours
DTF Trigga,Let Us Know
David Kushner,Daylight
Lady Gaga,Poker Face
Charlie Puth,We Dont Talk Anymore
Lady Gaga,Shallow
Cheflodeezy,Rough Sex
Dua Lipa,Houdini
Justin Bieber,Sorry
Glock Jones,Full Effect
Beyoncé,Halo
Clean Bandit,Rockabye
Chef G Cole,Rich in Real Life
Tate McRae,greedy
Stephen Sanchez,Until I Found You
DJ Stevie J,Late Night
Passenger,Let Her Go
Harry Styles,As It Was
OneRepublic,I Aint Worried
Lady Gaga,Bad Romance
Tank,Before We Get Started
Shawn Mendes,Senorita
Lukas Graham,7 Years
Flaujae,AMF
Billie Eilish,What Was I Made For
aha,Take On Me
ZAYN,Dusk Till Dawn
Marshmello,Happier
Foreign Eli,All In One
Henry Moodie,drunk text
Sia,Cheap Thrills
LOUNEY G,KILLING THEM SOFTLY
DJ Snake,Let Me Love You
Dua Lipa,New Rules
Whookilledkenny,Thankful
Sub Urban,UH OH
Timbaland,Apologize
Termanology,Uptown Fly
Fifth Harmony,Work from Home
Britney Spears,Baby One More Time
Ariana Grande,yes and
Harry Styles,Sign of the Times
Blu DeTiger,Latency
Katy Perry,Roar
Taylor Swift,Shake It Off
CjtheCannon,STAY ON
Ed Sheeran,Bad Habits
Bruno Mars,Just The Way You Are
Nino Man,Another Episode
One Direction,Night Changes
Eurythmics,Sweet Dreams Are Made Of This
NIIKS,Not Once
JVKE,golden hour
Gym Class Heroes,Stereo Hearts
Dirtysprite,Lonely
Ariana Grande,rings
Alec Benjamin,Let Me Down Slowly
Elton John,Cold Heart
Roxette,It Must Have Been Love
Aliza Li,Infinity
John Legend,All of Me
Maroon 5,Memories
Scrptiid,On My Way
Sam Smith Kim Petras,Unholy
Adele,Someone Like You
Oscy,Contributions
Shawn Mendes,Theres Nothing Holdin Me Back
Kylie Minogue,Cant Get You Out Of My Head
David Guetta,Lighter
Adele,Easy On Me
Taylor Swift,Blank Space
Teezy,INTRO
MAGIC,Rude
BTS,Dynamite
Bantunani and Misato, Masculin
Olivia Rodrigo,vampire
Carly Rae Jepsen,Call Me Maybe
Blxst Feid,Rewind
Dua Lipa,Levitating
Lana Del Rey,Summertime Sadness
Denyque,Think Like A Man
Lady Gaga,Hold My Hand
Sia,Chandelier
Bass Santana,GroupChat
Avril Lavigne,Complicated
Beyonce,Crazy In Love
Dua Lipa,Dance The Night
Crash Adams,Good Bad
Halsey,Without Me
Ace of Base,Happy Nation
Garth,Human Nature
Sean Kingston,Eenie Meenie
PinkPantheress,Boys a liar
Duprai Marcel,My Baby
Backstreet Boys,As Long As You Love Me
